"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mSp_rep7_133",0.0106035131260115,0,0,0.00321910621062243,0.000729190063049862,0.0150162931880553,0.00393066330252689,0,0,0,0.014728838182224,0,0,0,0.00859398427715003,0,0.00391478315580937,0.00964703915581639,0,0
"mSp_rep7_121",0.0209103561344755,0.00117031194110387,0,0.00196278126655436,0,0.00794449307064183,0,0,0,0,0.00604186989373802,6.25836499908068e-05,0,0,0,0.00317636062525481,0.00206576287763635,0,0.000247129320171004,0.00143818084130187
"mSp_rep7_233",0.00363558481653602,0.00494309541622697,0,0.00174691067016144,0,0,2.30053779225879e-06,0.000228984830386254,0.000315005416518835,0.000157737820879874,9.29507245734415e-05,0,0,0,0.0702316476691725,0.00319985278745096,0.00207042929000196,0.000454325660876944,9.99458162913159e-05,0
"mSp_rep7_021",0,0.00494309541622697,0.00233293821232572,0.00486775491058799,0,0,0.00153927154722307,0,0.00105962288969684,0,9.29507245734415e-05,0,0.00371555649348083,0,0.0438482251514197,0.000207658765096579,0.00124581739999413,0,0,0
"mSp_rep7_183",0,0.00205675322785423,0,0,0,0.00492766585697124,2.66131199745916e-05,0,0.000505205301221215,4.15121294900632e-09,0.0320273501985242,0,0.00130580944669404,0,0.00239580743991503,9.0575580200295e-07,0.00284981997742809,0,0,0
"mSp_rep7_369",0.0206679817682125,0,0,0.00614649887170157,0.000777953709022323,0.00301200971410012,0,0,0,0.00165972827745285,0.0108444344027822,0,0,0,0,0,0,0.000950699103726652,0,0
"mSp_rep7_269",0.00255821260932319,2.20216934738438e-05,0.0069381266085897,0.0045873114171295,0,0.00411908508895488,0.0023167312511238,0,0,4.15121294900632e-09,0.0138813714077013,0,1.22696135882789e-06,0,0.00232335714888947,9.0575580200295e-07,0.000581063498849515,0.000803575200675923,0.000261634333178776,0.00105993262216639
"mSp_rep7_165",0.00216160632009415,0.000481243665802393,0.00190424615961565,0.0217013219052309,0.00095990176893825,0.00834736968598426,0,0.000840039405766258,0.000712015760968902,0,0.00949509615565231,0,0,0,0,0,0,0.000572073472589267,0,0
"mSp_rep7_210",0.0157458147352513,0.000481243665802393,0.00369956121949046,0.0121331458124984,0,0.00254790126113132,0.000193219412377771,0,0,0,0.00376418995955312,0,0,0,0,0.000515014542961472,0.000440214402391652,0,1.99272086347627e-05,0
"mSp_rep7_120",0.00356540575425344,0.00256792582807962,0,0.0243933714752007,0,0.00753599964531496,0.000749484710045673,0,0,0,0.00376418995955312,0,0,0,0.00186524551164715,0,0.00234730533745142,0,0,0
