"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_153",0,0.000315173443745134,0,6.48842831863194e-05,0.0176083519378715,0,0,0,0,0.00411409373975168,0.00105565590682942,0.000287778265432006,0,0.0114998864723938,0,0.000569904580295932,0.000740150397762801,0,0,0.00217190481733067,0.00035240890550611,0,0.00206198151382174,0.000867962196347019,0.00737708187020426,0,0,0,0,0.00139807643537162
"mSp_rep7_170",0,2.52943201503615e-05,0,0,0.0011004459431359,0,0.000790796967500678,0.0012347188981682,0.000740496211281378,0.0201982338866682,3.06641373299969e-05,0,0,0,0.000921009379303758,0,0,0.00234091417810963,0.000574245429456291,0.00157491195367188,0,0,0.00140552724678785,0,0.00475594130244705,0,0,0,0.0031966712338154,0.00028743746611269
"mSp_rep7_335",0.00317762464379452,0,0,0,0,2.31945297568778e-05,0,0.00101417668264642,0.0196476087679996,0.00144609620749221,0.00154355348321737,0,0.011587074303207,0,0,0,0,0.00552232340964802,0.00398324127704513,0,0.00221952659980143,0,0,0,0.000331046721704063,0.00301182930143058,3.77618568027071e-06,0,0.00108277311037911,0
"mSp_rep7_139",0.005035283941384,0,0,5.15451700012307e-06,0,0,0,0.00504154092320089,0.0118494828022919,1.3523961546002e-08,0.000474414669548903,0,0.0422929971687512,0.00266981338619823,0,0.00063209801981985,0,0.00420347533724892,0,0,0.00223017963896864,0,0,0,0,0.00151307260910283,8.44470538361227e-06,0,0,0.00100491905356857
"mSp_rep7_192",5.59986123920673e-05,0.030725780061829,1.09729841230585e-05,0.000598206562964074,0.000348456623726281,0.00322313866044444,0.0189660945350958,0.00432205093109337,0.0027856507371233,0,0.00226070793366361,0,0,0.0126632502867868,0.00283946802821308,0.00461932128718916,0.00306528714881476,0.00181214407523398,0.011065127918803,0,0.00345783844900107,0.000770637487761364,0,0,0.000815422176094183,0.00143004954866181,0,0,0,0.0141890154026595
"mSp_rep7_259",0.00306678957723997,7.39971568556811e-06,0,0,0,0,0,0,0,0.00141944260583237,0.0229498080716708,0,0,0,0,0.00062562874063852,0.000589574079241976,0.00292536234247788,0,0.0560177574601034,0,0,0,0,0,0.00391893724252868,7.00756428015852e-06,0,0.00125130711284776,0
"mSp_rep7_176",0.00860301145320226,6.40439796076027e-07,3.32166161842437e-06,0,0,0,0,0.00214727872947473,0.00713405487877532,0,0.0141835386735413,0.00823607110915242,0,0.000222995900182992,0.000837207417272789,0,0,0.00279958354835838,0.00017020531679179,7.81360360313406e-05,0.000315359762221,0,0,0,0.00269794339546292,0.00260167132051005,2.33405448379986e-05,1.05018556470204e-05,0.000458869919678804,0
"mSp_rep7_049",0,2.52943201503615e-05,0,0,0,0,0.00189285810588192,0,0,0.021996159766886,3.06641373299969e-05,0,0,0.00704794797090258,0,0,0,0.00122469405196169,0.00139558808102447,0.0019580392094951,0,0,0,0,0.0119641224860468,0,0.0015037163186894,0,0,0
"mSp_rep7_075",0.00124409238438947,0,0,0,0,0,0,0,0,0.00524029016647108,0.00375594079177582,0,0,2.69615282218827e-05,0,0.00167840784028794,0,0.00261208083763631,0.000764551343855739,0,0.000698415228382906,0,0,0,0.00840337614591682,5.12657317934652e-05,0.000219198276790327,0,0.00104391297964534,0.0247044898105353
"mSp_rep7_266",0,0.00296954300396009,0,3.550410519395e-05,0,0,0.00188977446520926,0.00019661255393708,0,0.00147122852574487,0.000209364443195578,3.60203964329728e-05,0,0.0105148994896582,0.00242697304170806,0.000444270607355519,7.19680927339771e-07,0.000604696161438993,0,0,0,0,0,0,0.0099203191567072,0,0,0.00108037798182957,2.35999315373604e-05,0.0160629754273156
"mSp_rep7_355",0,2.80201163044492e-06,0,0,0.0259215952120826,0,0,0,0,0.00819168895146601,0.00105565590682942,0,1.93236751022423e-05,0.0178743445922324,0.000717364669601774,0,0,0.002239640116658,0,0.00028115491128407,0,0.00112331366845671,0,0,0.005538818219563,0.00369776771916294,1.315326820665e-05,0,0,0.00251312079786347
"mSp_rep7_042",0,0,0,0,0.000644312612272352,0,0,0.00472226097952736,0.0183172635833582,0,0.00846706406189235,0.0027338424948959,0,0.00126662500413722,0,0.00290324929505315,0,0,0,0.000737622309166366,0.000421391686662649,0,0.00294043959020232,0,4.67610329462908e-06,0.000965345138649652,0.000143072129161649,0,0.00121998458936998,0.00118044148005224
"mSp_rep7_017",0,0.00360716310228611,0.104249454312027,0,0,0.000463047058752724,0,0.000859186034735055,0.000311803564690548,0.00609991559544265,0.00414125308986202,0.000115155612739417,0,0.00390688502057937,0,0.00166291539814831,0.00362772659862189,0.00194431156793232,0,0.00123329703742832,0,0,0,0,0.0111213129465751,0,0,0,0,0.00218720613334214
"mSp_rep7_011",0,0.00434163139304184,0,0.000703238272048495,0,0,0,0.000140255959855473,0.000734993606536023,0.00188968902461606,0.00222884434911368,0,0,0,0.00312318895541501,0.000665729509334252,0,0.00463394750634491,0,0,0.000609004757581664,0,0,0.000397406245574195,0.0242579849003412,0.00812868129675535,0,0,0,0.00369062115402714
"mSp_rep7_257",0,0.00134945060898954,3.32166161842437e-06,6.57694028136198e-05,0.00122914575557417,0.00128102017215298,0,7.5540943541588e-05,0.00213999208870604,3.82916723146971e-05,0.0267180419810883,0.0180270706151133,0,1.70002086421136e-06,0,0.00153203023323598,0,0.00336427335566716,0,0,0.000637728609312313,0,0,0.000728989508038669,3.94887715501473e-05,0,4.27095633864501e-05,1.05018556470204e-05,0.000538960615683346,0
"mSp_rep7_147",0,0,0,0,0.000240039201460249,0,0,0,0,0.0182129659456468,0,0,0,0.00167703563465604,0,0,0,0.0040762366496837,0.00143943577590527,8.24891775793215e-05,0.0020858669800391,0,0,0,0.00651097132413893,0.00219483669727894,0,0.00108558061319733,0.00256387579118904,0.019186778657385
"mSp_rep7_201",3.22644268822733e-06,2.22723295075638e-05,0,0.000128570915728256,0.00232915831182614,0.00206784378104833,0,0,1.70607531753618e-05,0.0130925534645602,0,0,0,0.0179440764016516,4.08162964951683e-05,0.0140291940663557,0.00117277751943998,0.000309848671023215,0,0.00122870718990762,0.00117383839675655,0.00896795963594064,0.00128879316244642,0.000190345295103461,0.00881017476236126,0.00444728854035512,0,0,0.000516849528763484,0
"mSp_rep7_336",0.0022197536836708,0.00124434427995578,0,0.000303131720582127,0.00258112101025918,0.000563848741874339,0.0194413997723985,0,0.00152597349098808,0.00485893960327097,0,0,0,0.012696315630866,0,0.00339373934903248,0.000291637419607488,0.00248577824919125,0.0184249848031527,0,0.00952733963454013,0.00595112916626995,0.00172631602334728,0,0.0120757921019893,0.00083576267728157,0,0,0.00283634727579878,0.00255977863724806
"mSp_rep7_229",0,0.00635817499831863,0,0,0.0198755517509738,0,0.00113125429964882,0.000114008011030507,0,0.00462273557477635,0.00723882359228451,0,0,0.0036378735330373,0,0.000802384878698719,0.0015565801235834,0.00402564995080647,0,0,0.000812998930075772,0.00290067948451944,0,0,0.00194746328591132,0,0,4.59091861069739e-05,0,0.000366911340799113
"mSp_rep7_020",0.0109856011431987,0,0,0.0159024424003029,0.000603969011853241,0,0,0,1.94246395865482e-05,0,0,0.0110760511974117,0,0.00248023389565012,0,0,0.00381273036806816,0.00619318022796823,0.0152681462125134,0.0101118685804022,0,0.0152198786318753,0,0.03701712345563,0,0,0.000924215601860235,0.00135945823038648,0,0.000383122970139888
"mSp_rep7_172",0.0068799707294259,0.00469882909160301,0,0.00554841897479051,0,0.00130789207114604,0,0,0,0.000418455471499067,0.00188824600586542,0.0968912911944313,0.00319729041859734,0.0070253665733479,0,0.0024423949710263,0,0.000126479523405347,0.00281831546255864,0,1.09270924788707e-05,0.00553867528963013,0,0,0,0.000396720582163485,3.10344337303767e-05,0.0129877512579776,0.00382500994382112,9.70477186808612e-05
"mSp_rep7_057",0,0.000908413575086444,0.0106624998945693,0,0.0097243776979588,0,0,0,0,0,0.00214620005316777,0,0,0,0,0.01042817634772,0.00771273725569523,0.00102526581311301,0,0,0.00157512340468983,0.00305178171679433,0.120019932543115,0.00211522717606455,0,0,0.00309292858334827,0.00227079732215599,0,0
"mSp_rep7_240",0,0.00137040033655618,0.00302081938749667,0,0.00393980596042694,0,0.0190274363303318,0,0.00254353156123653,0.00690878840486773,0.000579878169115813,0.00170340575911616,0,0.00969790489918844,0,0.000954003499725395,0,0.000156464704834312,0.0178430033166542,0,0.0119593675460967,0.005238295292682,0,0.000579207206107073,0.00276934808887118,0,0,0,0,0.0091011582571327
"mSp_rep7_077",0,0.00503432082974444,0,0,0,0,0.00364371881692787,0.000156821111523729,0,0.00123517234150256,0,0,0,0.0219558332118522,0.0018856861583632,0.00706844307139912,0,0,0,0,0.00138567651285171,0.00295911109005801,0,0,0.014831527770365,0,0,0,6.31694087488071e-05,0.00537434763641601
"mSp_rep7_349",0.0172698415269597,0,0,5.15451700012307e-06,0,0,0.000582212772441202,0,0.0027801913590895,1.3523961546002e-08,0.000474414669548903,0.000654047233317272,0.067244313643983,0,0.000417412069615871,0.000145047343496865,0,0.00212461007297321,0,0.00599138802146417,0,0.0180253416908725,0,0,0.00616488812379013,0.00802462839794684,0.000436702987019895,0,0.00130552367256635,0
"mSp_rep7_105",0,0.00891766039537891,0,0,0.0172877011585084,0,9.96190577816736e-05,0,0,0.0181118087564848,0.00105565590682942,0.000123951917024433,0.000138533445968969,0.00570345211571944,0,0.00085437527094397,0,0.0023034604748904,0,0,0,0,0,0.00157677381271208,0,0.0176936960248367,0,0,0.0018653274690138,0
"mSp_rep7_308",0.000774301651318521,2.52943201503615e-05,0,0,0,0.000738688096086614,0.00316922827430831,0,0,0.0166195698181958,0.00136392829034504,0,0,0.00301393550545354,0,0,0,0.0026336672912791,0.000803848233785348,0,0,0,0.00139291472270052,0,0.0095583794465178,0.000843326386391418,0.00112046101766913,0,0,0.00173915793587288
"mSp_rep7_113",0.00155300167957743,0.0026975663626509,0,0.000873225448376176,0.00579451684086427,0,0,0,0.00115801083205964,0,0,0,0,0.0199968733655566,0.00259784369405636,0.00197362925523581,0.000471177860565926,0.0014004547090544,0,0,0,0.00776599581792841,0,0,0.0140138221929686,0,0,0.0021894656810059,0,0.00641210416344915
"mSp_rep7_258",0,0.0057565000754983,0,0,1.01155492546926e-06,0,0.00477099656883288,0,0,0.00147122852574487,0,0,0.000745445174934073,0.00757827511614807,0.0011276136893824,0,0.00100159765729922,0.00496056075327367,0,0,0.000762199729749811,0,0.000351285240604717,0,0.00134570707860476,0.000816026774607983,0.000149303271537011,0.00233352985806114,0,0.0276438736016302
"mSp_rep7_040",0.000175516366573334,0.00109122299261703,0.00220928678089806,0,0.001907754298163,0.00339018903316807,0.000265081243643807,0,0,0,0,0,0,0.00491137425587399,0,0.000352300537453912,0,0.000160933711173574,0,0.00102756380936277,0,0,0.119245056855377,0,0,0,1.26888543428088e-05,0.000435209260157317,0,0
"mSp_rep7_080",0,0.0121515566527955,0.00341038135720815,0,0,0,0,0,0.00126803377518163,0.0131857957659823,0,0,0,0,0,0.00643603178079328,0,0.00233839679588542,0.00444499506006551,0,0,0.0020320329648941,0.00048526959231417,0.000357153764500159,0.0223276687998828,0,2.44504501274161e-05,0,0.00117723350382454,0.00283158334374827
"mSp_rep7_255",0,0,0,0,0.000224778566758687,0,0,0,0.0255921047036938,0.000546464245144367,0.00651352392766365,0,0,0,0.00135524713481594,0.00207999571153307,0.000858564953886641,0,0,0,0,0.00667454018885031,0.000267705103308987,0.0020326681670167,4.67610329462908e-06,0.00118503610172048,3.77618568027071e-06,0,0.00458445688750099,0
"mSp_rep7_278",2.58192604843708e-05,0.00224521941464378,0,0,0.000739835755064387,0.000508234028610469,0,0,0,0.0147578875544476,0.00150757754659117,0.000531343224291062,0,0.00379742832458275,0.00133811819967724,0,0,0.00207551643192029,0,0,0,0.000601898863665411,0,0,0.0183695121572637,0,0,0,0,0.00354717492844223
"mSp_rep7_073",0,0.00293278838633677,0.00195923647198281,0.000183181876997374,0.00498174141660892,0.00380240776612018,0.0218650930825569,0,0.00176133542425131,0.00598775931863138,0.0011235353147689,0.000970152706257879,0,0.00829613937633576,0.00396121937835054,0.00100465383533737,0,0.00333186281120353,0.0171384665114376,0,0.000373083531002769,0.00420088181736951,0,0,0.00227447156386625,0.00475342617791888,0.000487128995018166,9.04973043212399e-05,0,0.00882706911647022
"mSp_rep7_090",0.000660620619618544,0.00077363480691008,0,0,0,0,0.00387595924808749,0,0.00121537914030549,0.0157684918734102,0.00089674729514994,0,0,0.00192689162785211,0,0,0,0.00293341185485597,0,0,0,0,0.000975288042856116,2.77880967543459e-06,0.00613885404528642,0,0,0,0.00214102224489628,0.000317155699022773
"mSp_rep7_029",0.00579774418268385,0.00119079070697937,0,0,0,0,0,0,0.022686422760243,0,0.00154355348321737,0,0,0.00279636145773052,0,0.000819681490311416,3.29185996018816e-05,0.0051832831565176,0,0,0,0.00332894743698538,0.000399146676678859,0,4.67610329462908e-06,9.80110563592216e-05,3.77618568027071e-06,0.00212296121708239,0,0.0033851439905577
"mSp_rep7_261",0,0,0.00304587021582782,0.00426175154016669,0,0,0,0.00144679643023831,0.020746558507783,0,0.00154355348321737,0,0.00192135832320287,0.00031715643743939,0,0,0,0.000608921631413291,0,0,0,0,0,0,0.00197136275650114,0,3.77618568027071e-06,0,0.000387547811388185,0
