,score
AC008403.3,2.3104758636029317
TRAV24,2.3103121573342946
TNFRSF1A,2.310217902209928
ZNF470,2.309597019423933
CCR3,2.309494931463746
CA13,2.3092309648966136
FBXO5,2.30890250798123
AP003108.2,2.3085816228071394
AC006064.2,2.3085787507673388
CCL19,2.3084061672847724
TTC32,2.3080782325584437
CDHR3,2.307749514548533
SARNP,2.3072307197227246
B4GALT6,2.3070330711655345
C2orf74,2.3061905191258347
G0S2,2.3060354289765996
MPZ,2.305822636936824
TMEM116,2.305344833951807
PMP22,2.305199404300083
XCR1,2.305022904399607
GPR55,2.3045944482802554
GAS7,2.3025808872854725
CFAP44,2.3016801111661778
ZNF649,2.3006681087782397
ZNF789,2.300240174847943
JHY,2.300014589176328
AL357054.4,2.2999401772360386
HACD1,2.299770465793273
RTN4R,2.29947621226097
AP001816.1,2.298985093455059
C17orf49,2.2985553318630707
ZNF66,2.2983897979327423
ZNF25,2.2976401955447727
KCNB1,2.297139938430405
NBPF11,2.2970279288781796
HIST1H2AG,2.2967908550473624
SEC14L2,2.2966404645996192
FAM19A2,2.296584329276243
SIGLEC15,2.2965574365399277
RMDN2,2.296374931465323
ZNF415,2.29592114917682
LINC01684,2.2957509155449998
PIK3C2B,2.294771549972978
IL5,2.294713325893383
AC022893.1,2.29459818320683
IFT52,2.2945916558436465
LRG1,2.2943564096745206
C1orf54,2.293978083704417
AL139011.2,2.2934530226099525
SNX33,2.293061380818955
TIMD4,2.2929154289781764
AC021092.1,2.2926953262916356
GOLGA8N,2.2919950707693317
AL162457.1,2.2915504267892857
ZNF678,2.290903956739612
TOR4A,2.29001466877952
AL035563.1,2.289260105595531
GCSAM,2.2890423527597363
AL603832.1,2.2888065844015557
TNK1,2.2886332176354074
NCAPG,2.2884564566404038
ASH1L-AS1,2.28833844191405
ZNF792,2.287705809874325
COQ6,2.287528004501212
TLDC1,2.28729040848134
FAM27C,2.2867697859938403
GDF11,2.286752292660509
ZNF426,2.286502164103325
AC064807.1,2.2861875451978904
FCRL2,2.286136892859588
AC013264.1,2.2861162663919288
AC084033.3,2.2858068693770406
RBKS,2.2857162695760564
CLDN7,2.285646557337259
TESPA1,2.2849870325612187
AL133410.1,2.284363277735423
CDH2,2.2841439583324643
HIST1H2BG,2.283655972660881
ZCWPW1,2.2833366540539544
DDTL,2.2828136817157088
CARNS1,2.282516295049078
C3orf58,2.282381831367502
AC245060.6,2.281605858432272
CASP9,2.281539801516857
PCNX2,2.2810139571388106
PEG10,2.280371403507047
AC016745.2,2.2799155324623257
UBE2C,2.2799074385319784
CDADC1,2.279743471168814
SGO1,2.2792818560444914
AC020978.5,2.2788453059947926
LIF,2.2785416530595057
STARD4-AS1,2.2782661983331707
KIAA0895,2.2778259929600893
AP001505.1,2.277796750373028
VN1R1,2.2775829139551433
AC055713.1,2.2774019754477024
FKBP1B,2.27727795554722
TNFSF9,2.277070385397991
NRGN,2.2770022397263574
AL391121.1,2.2766244359453083
KRBA2,2.276522609079649
NR4A2,2.276278746791121
SDC1,2.2760991137563167
PLK2,2.2757260096767595
LBHD1,2.2741127065923763
SLC35A1,2.2739845091794564
AC025171.3,2.273848217836189
DNASE1L3,2.2738192363436553
ZNF682,2.273580595945674
GNRH1,2.2732858202243165
AC108047.1,2.27196442082149
ZSWIM6,2.2715469306722866
Z95114.1,2.2714106393290194
TTC16,2.271244322115109
SMIM27,2.2711793095778035
KIAA1324,2.2706521597271205
WDR19,2.2705143018166893
EXD3,2.2703923706724254
ERRFI1,2.2702427635082643
NUCB2,2.270108038732161
Z99774.1,2.269906473757061
CEP63,2.269842766692392
ARL17B,2.2696385907720185
PINLYP,2.268892382612904
GATA2,2.2684795921651926
CHAC1,2.268318496841829
AJM1,2.268089516941359
IL17RE,2.2679059674886446
ATP23,2.2674195483842254
TIMP3,2.2659858783346465
AL662844.4,2.2659198214192315
HIST1H3A,2.2657146011207487
TMPO-AS1,2.2652563802252814
GNG8,2.2651673469914613
PVR,2.2650997235088823
SUCLG2-AS1,2.265022439528792
SERPINH1,2.265010429180535
TTLL1,2.265006512762625
BX284668.6,2.26421826838461
TRAV6,2.2641736212204364
HOOK2,2.2636086126632904
AC100786.1,2.263594252464287
HENMT1,2.263113316344942
TMTC4,2.262375202116175
AL591895.1,2.2620091475888557
OTUD5,2.2618498799271833
SPTY2D1OS,2.2617099332605335
DENND1C,2.2610624188327506
FAM160A2,2.2609410098775413
MED26,2.260514903608936
TOGARAM2,2.2600136021164587
DNAH1,2.2598159535592686
QSOX1,2.259617260623969
GOLGA8M,2.2590000331613567
AC023908.3,2.2585875038081724
KIT,2.2585355459972334
KHDC1,2.2581838516689174
AC011815.2,2.2580483436092322
PYGM,2.257811269778415
AL645568.1,2.2576376419177393
C7orf31,2.2573514823157836
PCOLCE,2.257195086693912
ZC3H8,2.256910232564593
ZNF354A,2.2568822954501684
EPS8,2.256808927887988
TMEM168,2.2562734230124306
AL627171.2,2.2556807384353874
AC114490.3,2.2556243420174837
ZNF823,2.2554548916692454
ZSCAN9,2.254575003112137
HIST1H1D,2.2539582978385795
FAM71F2,2.2530037362466544
TNFAIP6,2.252900342813831
ZNF707,2.252687811868583
TRIM3,2.2520439527641827
DGKE,2.251339780823969
SPATA6,2.2508405680877104
IL31,2.2505037561474523
IL17RB,2.2504611977394973
CCL3L1,2.250298274754442
AC138627.1,2.2502379619186286
ZSCAN16-AS1,2.2502204685852973
MIR3945HG,2.250128302217149
ZNF419,2.2498363985355923
LSMEM1,2.249796973261965
PCDHGA10,2.24978182977938
ENC1,2.2489758309735066
CP,2.248647374058123
FAM13A-AS1,2.248180537043254
GTF2IRD2B,2.247574014456262
AC034236.2,2.247229891869239
AC104653.1,2.2471808060981004
ZNF252P-AS1,2.2471432084861647
DNM3,2.2470311989339393
NKAPD1,2.2466962146553726
PSTK,2.2466695830135848
LINC00115,2.2459547061977503
IL1A,2.245826247690303
ZC3H11A,2.2456283380385855
TIAM1,2.245347139232649
CNNM2,2.2453293848047906
AL139011.1,2.245144790973967
MORF4L2-AS1,2.2444685561481776
ERMP1,2.244408243312364
NFIA,2.2444045879889813
AC009950.1,2.2442025008248265
AC005224.3,2.2441348773422476
SYNPO2,2.2436871002278735
ZNF468,2.24358762321296
FAM222A,2.243545848088587
VTCN1,2.243270393362252
RGS18,2.243115564307544
FAM229A,2.2429703957503477
ZIK1,2.2429701346558204
AC244090.1,2.2427262723672925
Z97989.1,2.242534628984231
ELMOD2,2.2424155698797676
AC002091.2,2.2423153095812722
ZNF230,2.241990769083799
GMEB1,2.2418740598300815
AL136038.3,2.2417732773425314
ZNF449,2.2409991320689926
LINC00467,2.240961012268002
HIST1H1B,2.2408330759496096
THBD,2.2408218488849343
GUCY1A1,2.2407061840093263
APOBEC3H,2.2406385605267474
SUMF1,2.240596524307847
ZNF441,2.240552399332728
AC073896.2,2.240370677541705
ODR4,2.239932560924842
AC044802.1,2.239757888686057
RNASE6,2.2397218576412854
AL355581.1,2.2395119376413106
MZF1-AS1,2.23813126978078
YPEL2,2.238048763910143
LIPE-AS1,2.2376200466962644
AC112907.3,2.2376077752534798
CAB39L,2.2367866329650212
PHKG2,2.2366639185371753
PMCH,2.2365320658008727
KIF3C,2.2362432952536437
SLC16A6,2.2361957760496693
LY6G5C,2.236057134855656
KCNAB3,2.2360438190347622
ZNF517,2.235979067591984
MPP1,2.2357842910745944
NAGS,2.235137821024921
TSACC,2.235133904607011
CMKLR1,2.235048265602046
GSTM4,2.234794220626952
LINC01970,2.23468482202
GDPD1,2.2346070158508553
ST7,2.2346033605274727
ZNF585B,2.2344010122687905
MIER3,2.234183520527523
AF165147.1,2.234074121920571
FIG4,2.2336913573435027
AGER,2.233430523910698
CCL1,2.2327367957515776
FCGBP,2.231732104010405
TMEM175,2.2313250576422945
PARP16,2.23121592012987
SERPINF1,2.2304091380404145
HIST1H2BF,2.2302814628165493
GJB7,2.230207311970787
ING2,2.23002794003051
NQO1,2.230017757343944
SSH3,2.2297629290852683
KCNN1,2.22927154918483
AC108673.3,2.2292597999311
WWC2,2.229173377642553
CCNE2,2.228863197344083
IP6K2,2.228701318737137
AL031731.1,2.228265290876493
SNHG22,2.2282075889859527
AC016831.1,2.2281626807272517
AC018816.1,2.2278572001302734
MIRLET7DHG,2.2272660821203942
MED25,2.227220912767166
ABL1,2.2266963738617562
LAT,2.226641805105544
AL137779.1,2.2262898496827006
KCNMB3,2.2259898520707964
ZNF582-AS1,2.225786720528532
CR2,2.225698470578294
DUSP28,2.225685676946455
AL590822.2,2.2252415551554634
RGS17,2.2251582660012446
EXOC2,2.2250251077923053
ITGA2B,2.224878372667945
ZNF225,2.2248010886878546
NKAPL,2.223672115951672
MTO1,2.2235614118720832
LRFN1,2.223529819434276
SMIM13,2.223353580628327
HIPK1-AS1,2.2232948343596775
CPM,2.223178908389542
CCHCR1,2.223160631772629
ZSWIM9,2.222688572867213
SNHG9,2.222517033762756
AP001160.1,2.2222945812254693
ACACB,2.222189621225482
TMEM184B,2.222159073165784
TSPYL4,2.221918082917057
SPDL1,2.2213648236136407
ADAMDEC1,2.2212551639121614
PCDH9,2.220754384608739
TRAV5,2.220495378837626
FGF22,2.2204147006286803
FRMD6-AS1,2.2204016459023137
VASH2,2.2201235802307053
