"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_169",0,0.00453216643971096,0,0,0.153352792974459,0,0,0
"mSp_rep7_264",0.0478242545958589,0,0.0153700600018445,0,0,0,0,0.0231671712249406
"mSp_rep7_294",0,0,0.000856063791573002,0,0.00191287496732813,0.0360197327885484,0.0111640463115831,0.000701930509941718
"mSp_rep7_072",0,0.143498801844738,0,0.0447710490005933,0,0,0,0.00167568549773204
"mSp_rep7_084",0,0.00529570512137011,0.104952700735314,0.00176191778767013,0,0.00178642732399123,0,0.00383885629816217
"mSp_rep7_044",0,0.0248607277131234,0,0,0.00833790374520126,0,0.0112376945281279,0.000182847683738295
"mSp_rep7_289",0.00194588215483995,0.00316842804444882,0,0.00221576930704163,0,0.0264891909165986,0,0.00106025332438885
"mSp_rep7_195",0,0,0,0.00508529171513491,0,0.0333351256460238,0.00564946322576286,6.32886160616199e-05
"mSp_rep7_171",0.00189918078887119,0.00413294423046911,0.00208506038953971,0,0,0.0180492152216013,0.0145682606275388,0.000918556805615669
"mSp_rep7_202",0.019301950242235,0,0.011883056937381,0,0,0.000477621907559506,0,0.0327397523105323
"mSp_rep7_099",0,0,0.00180159115739616,0.00417525029370908,0.00126678108928745,0.0302238226918148,0.00755247948597616,0
"mSp_rep7_003",0,0,0.00023718065844237,0,0,0.0371295206873627,0.00938704430131079,0.00404178475643728
"mSp_rep7_066",0.000428684218986237,0,0.00295530428837125,6.71923463680953e-06,0,0.0369022068975049,0,0
"mSp_rep7_316",0.0170642388622052,0,0.0218511834878734,0.013086377634839,0,0,0,0.0285268113682028
"mSp_rep7_133",0.00536068007200074,0.00290344134146972,0,0.0387380872839636,0.000650373565828702,0.0234909380066427,0,0.0225309354310142
"mSp_rep7_121",0,0,0.000642944854274655,0,0,0.0362551595659095,0.0106999038850147,0
"mSp_rep7_233",0,4.13316660641898e-05,0,0,0.000995809483386714,0.00337165786582627,0.00281892824095417,0.0428725294863997
"mSp_rep7_021",0,0,0,0.00705540227426823,0.00277493430320421,0.000206050936723043,0.000906055837482923,0.0343580803617149
"mSp_rep7_183",0.000352017299123131,0,0,0.0035755983970154,0.000588741609963256,0.0393218236933518,0,0.00467743848888971
"mSp_rep7_369",0.000827654104027354,0.000591061651170944,0,0,0,0.0314852765775991,0.00880566061254057,0
"mSp_rep7_269",0,0,0.000802857016468522,0.0237324817179101,0,0.0174068071731249,0.00665591215814348,0
"mSp_rep7_165",0.0102429117289888,0.0048421090868357,0,0,0.000777561944777656,0.0263540486478991,0.00660726270765529,0
"mSp_rep7_210",0,0.00157538554443559,0,0.218069822274292,0,0,0.0141965634889366,0
"mSp_rep7_120",0,0.00481505525105646,0,0.000722558805138323,0,0.0266412127800993,0.00753285837019304,0.00636727403824226
"mSp_rep7_153",0,0.00458289134735556,0.00144813135370854,0,0.00113537359449886,0.0235357585682651,0.0110492201430769,0
"mSp_rep7_170",0.00435592224992133,0.00229818998088817,0,0,0,0.0288616321928227,0.00594738978243671,0.00229043887218906
